"","TCGA-AB-2913-03","TCGA-AB-2889-03","TCGA-AB-2847-03","TCGA-AB-2890-03","TCGA-AB-2910-03","TCGA-AB-2996-03","TCGA-AB-2988-03","TCGA-AB-3001-03","TCGA-AB-2908-03","TCGA-AB-2856-03","TCGA-AB-2930-03","TCGA-AB-2950-03","TCGA-AB-3008-03","TCGA-AB-2894-03","TCGA-AB-2886-03","TCGA-AB-2896-03","TCGA-AB-2928-03","TCGA-AB-2941-03","TCGA-AB-2872-03","TCGA-AB-2836-03","TCGA-AB-2826-03","TCGA-AB-2861-03","TCGA-AB-2877-03","TCGA-AB-2943-03","TCGA-AB-2944-03","TCGA-AB-2999-03","TCGA-AB-2811-03","TCGA-AB-2942-03","TCGA-AB-2840-03","TCGA-AB-2980-03","TCGA-AB-2841-03","TCGA-AB-2819-03","TCGA-AB-3000-03","TCGA-AB-2897-03","TCGA-AB-2874-03","TCGA-AB-2813-03","TCGA-AB-2878-03","TCGA-AB-2899-03","TCGA-AB-2876-03","TCGA-AB-2984-03","TCGA-AB-2914-03","TCGA-AB-2891-03","TCGA-AB-2851-03","TCGA-AB-2888-03","TCGA-AB-2810-03","TCGA-AB-2867-03","TCGA-AB-2932-03","TCGA-AB-2820-03","TCGA-AB-2853-03","TCGA-AB-2895-03","TCGA-AB-2991-03","TCGA-AB-2952-03","TCGA-AB-2983-03","TCGA-AB-2873-03","TCGA-AB-2970-03","TCGA-AB-2940-03","TCGA-AB-2973-03","TCGA-AB-2857-03","TCGA-AB-2871-03","TCGA-AB-2981-03","TCGA-AB-2992-03","TCGA-AB-2934-03","TCGA-AB-2936-03","TCGA-AB-3007-03","TCGA-AB-2893-03","TCGA-AB-2918-03","TCGA-AB-2931-03","TCGA-AB-2916-03","TCGA-AB-2814-03","TCGA-AB-3011-03","TCGA-AB-2823-03","TCGA-AB-2869-03","TCGA-AB-2948-03","TCGA-AB-2990-03","TCGA-AB-2806-03","TCGA-AB-2927-03","TCGA-AB-2995-03","TCGA-AB-2866-03","TCGA-AB-2880-03","TCGA-AB-2917-03","TCGA-AB-2843-03","TCGA-AB-2929-03","TCGA-AB-2818-03","TCGA-AB-2977-03","TCGA-AB-2828-03","TCGA-AB-2938-03","TCGA-AB-2966-03","TCGA-AB-2975-03","TCGA-AB-2998-03","TCGA-AB-2949-03","TCGA-AB-2845-03","TCGA-AB-2987-03","TCGA-AB-3009-03","TCGA-AB-2956-03","TCGA-AB-2921-03","TCGA-AB-2939-03","TCGA-AB-2834-03","TCGA-AB-2909-03","TCGA-AB-2883-03","TCGA-AB-2959-03","TCGA-AB-2844-03","TCGA-AB-2946-03","TCGA-AB-2976-03","TCGA-AB-2839-03","TCGA-AB-2849-03","TCGA-AB-2955-03","TCGA-AB-2979-03","TCGA-AB-2870-03","TCGA-AB-2817-03","TCGA-AB-2963-03","TCGA-AB-2882-03","TCGA-AB-2900-03","TCGA-AB-2805-03","TCGA-AB-2892-03","TCGA-AB-2881-03","TCGA-AB-2808-03","TCGA-AB-2825-03","TCGA-AB-2919-03","TCGA-AB-2835-03","TCGA-AB-2935-03","TCGA-AB-2815-03","TCGA-AB-2898-03","TCGA-AB-2862-03","TCGA-AB-2830-03","TCGA-AB-2884-03","TCGA-AB-2875-03","TCGA-AB-2821-03","TCGA-AB-2920-03","TCGA-AB-2822-03","TCGA-AB-2912-03","TCGA-AB-2842-03","TCGA-AB-2911-03","TCGA-AB-2965-03","TCGA-AB-2933-03","TCGA-AB-2986-03","TCGA-AB-2925-03","TCGA-AB-2901-03","TCGA-AB-2924-03","TCGA-AB-2846-03","TCGA-AB-2915-03","TCGA-AB-2885-03","TCGA-AB-2863-03","TCGA-AB-3012-03","TCGA-AB-3002-03","TCGA-AB-2971-03","TCGA-AB-2937-03","TCGA-AB-2858-03","TCGA-AB-2812-03"
"TCGA-AB-2913-03",0,115.394786186497,93.728821582242,98.3086490902222,124.234657015044,114.183891717529,117.084353881219,102.085397941367,112.41283988393,87.6378610237449,105.959665514229,120.275699675954,104.090428008655,118.534360054226,111.987336765643,127.882275860268,138.817064327887,120.549770698256,92.357730674085,83.3770487669251,110.460911989148,121.805084371429,130.973546371565,111.053673693391,90.883106967424,102.80387488469,115.263612676599,126.953699668899,102.760664078908,131.623010190776,117.473903762389,110.534531420218,90.931901655249,125.722671772084,99.6279836583145,107.168702184576,113.88642899192,106.819861394122,106.095096758459,117.167289124453,106.123992390581,106.845398526723,112.06389364143,95.2849581164346,118.154393986456,116.800090942421,102.438796166749,104.00420793737,135.190701143269,129.14132249966,101.709787440939,107.949004695533,102.049504257995,125.966650018867,105.946640597217,120.788409779193,109.756094722451,100.853513410436,90.1552270905579,132.416898870707,121.405795530833,121.357853560176,120.878565431795,91.0717861469831,117.863023158001,106.215184212454,121.600096581725,121.949427334275,110.882390337782,117.002281873736,110.904076014869,118.846000743136,113.285046035083,104.915950494516,101.875090722593,120.485609205316,116.58169239145,107.052807386011,91.5892843260548,110.374679682531,101.614688670392,106.878011980529,105.127818825562,119.388989619236,110.812401969107,101.856748096586,346.766486000141,123.580092882598,114.175355416527,105.548430798041,100.43445633729,125.601989981151,202.306049072157,111.167715892712,89.5650411117199,94.1905693222585,88.0317038237632,99.9363412447695,119.053455057379,102.430954208947,82.2679698580053,115.028660279775,95.6172011044971,100.07378713017,214.959450042379,111.385677495774,103.39762980144,106.485178058488,115.116146694287,101.466064028241,107.129777425287,108.341981762026,105.68524961656,123.088028193271,119.457263292958,90.4581234670564,128.932619525047,118.622271432197,89.1072533697564,103.581295644082,108.220990590865,130.424561843487,106.319567054948,117.917194626997,119.061175230913,102.720019396304,109.362899803918,101.755421043366,117.233063473101,96.5589716362055,111.302634474846,101.438680242312,121.602329448178,108.047867462955,94.7214102214532,126.994139411519,111.462012667164,96.8503551129729,112.527554044636,116.450405174838,103.060372299286,108.660441999906,87.7647686813208,109.025759105282,123.341048510742,128.220732201892,110.803399621129,96.4383705286483
"TCGA-AB-2889-03",115.394786186497,0,73.0725099365376,64.8874616665652,77.1312967745256,64.5278163197529,76.5071783422669,114.850620709997,60.132993657407,84.6103556387404,90.7712541315851,74.3753529313336,142.343056419838,82.3297770147176,71.7963672505042,72.7641021937971,84.4318284744783,56.7208732893854,80.826245250286,74.2755228028734,115.994280201907,71.0426520022194,157.614753789976,82.0761212334334,108.839175785597,61.182062716472,62.7144762015766,72.0129855150471,67.047084293946,74.8028333320908,71.8183445923525,98.0920909981235,119.421342697078,87.3837647949143,107.829791118397,57.9419152424047,84.8407052265282,105.164415173844,105.683514040194,126.436326395956,107.794118050663,116.865166984027,75.6180295219706,72.5705133918244,113.52084902432,84.3870586624017,71.0086500685653,68.6441035891659,65.1795528443769,72.1109348157173,94.7956059446187,100.618511774608,64.5635223913756,68.0856617073476,92.3961325560714,162.390729198949,92.6027290303861,59.4800053834544,71.5148555520486,70.4366236412835,89.465781225163,70.0519928823822,89.1590018525595,86.7152409100673,56.6391193199793,97.8774813044442,64.8364189852046,71.5591827708932,94.1689219168652,123.082790148303,84.779854660607,72.0544704970965,66.0417383679256,107.435217801374,105.188029844091,76.1205694366433,52.350360705775,121.266437984308,85.8035943502922,88.4692823873404,65.2792722877896,87.5229357005692,81.7716396060993,126.293360220464,52.8656788285368,67.9731576839102,391.217201885381,63.375745805306,83.5738230876925,61.0503729544513,96.4424353260244,78.8509174160465,242.039170977057,60.3418984548659,88.0725118425546,84.7810810236525,108.737698313117,78.2413188170128,67.5517692692016,103.054064780696,92.3104953927492,51.1467370935111,71.8282409194773,134.474387805139,263.075619361414,96.7077528364747,91.9046861027422,52.9584000685771,61.0344300173049,65.7234272868672,84.2542106331318,62.0087596960307,90.6113304738904,67.117882668928,64.9381032182959,83.2499199764143,71.337945831625,111.737196948216,69.2945670051664,74.8586984469769,48.9148874137423,81.9497948895894,86.90335846188,70.7723281205224,79.3512763705272,64.9135131690485,104.989608675223,83.524807067512,82.3805038171338,84.6110712824305,62.4027106909578,90.0526816138664,60.2458603580514,59.8666860690241,93.6316470086577,58.5937691976962,89.0327397037333,68.0622556412305,73.3117829912773,71.2584891794672,75.6696221178305,84.7607905831536,80.9405393366968,120.271306320846,74.7617960303389,89.8694815952099,71.2617583221208,101.382593583149
"TCGA-AB-2847-03",93.728821582242,73.0725099365376,0,53.3483077730057,85.5206339707043,68.9514086269313,86.3648636479979,96.2245113695889,64.7739272248738,70.1242061786015,84.8640576995,86.9163055462715,116.618693537316,84.064377107715,80.2701366153609,92.0098690100583,101.347162171011,75.0983378527372,72.9485880780336,63.3007195643582,99.9749103602472,82.4197375120753,135.094830315636,73.1493474247307,79.1254394945843,67.6663927470222,80.7030615578255,90.3008315949028,71.5632169294246,90.2377923672922,81.5454154789153,94.6171907899269,97.1952783738048,94.3190737298784,90.4768432353919,61.8055540723775,77.4466142214132,83.7276718437625,93.4580980366042,108.061715131452,99.9047487410815,98.903609363633,80.1538734772481,66.935617477873,101.232544430601,82.1247650545934,75.9300593322467,63.4306967365023,94.75659092854,93.8273047293333,85.0141461481081,81.3495902208035,65.3028127806024,82.9332000960592,81.2226644122432,136.821550469543,84.9294981881398,54.6570434411136,55.5059523158373,94.9550196993142,87.9047267453745,84.6081814631449,84.4477897269748,72.5286419929409,75.274449125455,89.3882459506002,84.2256032313318,82.297038104847,82.1872542135318,107.53080727813,86.5789327908062,82.9973558862024,73.6431919555893,91.2543673069176,97.2384600931562,78.5507691904236,66.1419988844508,100.017266073481,76.5965333681619,79.4506915068079,57.2760025721784,73.7452590004054,83.1597221320659,109.232963068112,72.0186723926638,59.0790786152848,367.729230107899,82.5043683373104,87.5521668993139,64.4396550621625,83.1815228283344,85.4058614835903,217.676251357354,68.5890527776694,74.7215852162835,73.2638402943879,86.479347072343,73.5522184168302,80.1498163587878,83.0093314895685,77.7183366691832,63.9871587238873,73.5865446063949,117.792952575682,233.423611279472,92.4546101533721,82.370469073745,67.1117365637137,71.7942850523323,72.0060185284994,72.3228799478423,74.5794040834273,77.4212385999079,85.9987230503648,80.8149871092577,70.9955478195254,92.437654890512,101.225869699316,66.1888157027468,58.8266893339873,70.1042582322765,93.9242780304706,82.025861197897,74.2637536183312,87.1109359451067,65.7072593476393,84.2563608045018,68.039868059075,83.770377291544,69.084436642243,71.904654927301,80.8937796454571,83.1327736724999,65.3539343398117,83.5742643142873,87.1266099516168,83.7265220261576,70.994950939634,82.773364719365,76.7065119115532,61.7884303191195,76.7968665238847,70.5009811453194,97.4188885583564,85.1233194971458,97.7660839584523,72.1491951387723,93.8695726765731
"TCGA-AB-2890-03",98.3086490902222,64.8874616665652,53.3483077730057,0,79.8760753569387,64.0096514370047,79.6845693993579,98.1051213573361,58.897685790987,73.1632452205054,85.0945615657634,83.6891480748794,119.892234333793,78.3160855741204,77.8853553054679,85.0929421804247,95.6038671325578,64.7735286660195,71.7502837828864,63.2619712728816,98.7059631664384,76.9247268959751,136.223363913282,69.5164156491661,88.4576610784643,61.7220750338034,74.7498385345372,85.3391644893201,67.0350698371612,86.7030140989129,74.738423431055,93.8219487197091,100.050967800813,91.1610827843998,90.6717795455748,56.1506711957136,77.7892412786854,86.1232673536613,93.3134637383249,106.441034438652,101.431224142877,100.432449545926,76.423915626949,62.6751199492115,98.505778743948,76.2318959639389,73.8811254491718,61.1843923558538,86.2123309635235,88.0249966766139,84.4881531083049,85.0604202412186,61.819677486215,75.4253818086346,80.1939040929147,141.271909884976,81.2202637022244,48.1421472571409,48.9295440125564,87.7216630935715,81.3131512473945,79.9190528461874,78.7391736327538,73.1108966606709,66.9941208682058,88.6720328769272,78.2023447017796,76.5208735151228,82.3413089188931,105.34155519752,83.3935176460591,77.5564523789233,68.9041054009827,89.0596982428877,99.2317513163732,74.5601857866136,54.4147153757705,101.203694332289,74.7748991256038,79.3951101310807,51.0652724642625,72.7933377131275,80.0261839512151,108.082602354223,63.5546120196091,51.7870957305961,371.870058122802,77.7270193788835,84.0663749832591,58.7748595435009,81.9382685228471,78.2394771185614,223.259347722319,61.4402364575111,75.6731988583649,76.38054567935,88.8940541235657,74.9471295956789,76.1173368827946,80.7367523907414,80.6810450629574,53.0143709810008,69.7902527561675,121.963988975167,239.234861260499,92.7005269426598,81.7980637565549,59.9471257807439,65.8115653310828,66.9650640048779,70.8177999441809,67.6903465111315,72.706418143081,80.1701137875998,73.6387288964137,72.5283804980391,85.1150963020929,98.3917318705941,63.5518190490685,59.635396329903,62.6590504774929,88.2621728753482,78.3342821344834,66.1233189060104,79.9469068475092,61.8297814302634,81.0177050600752,70.52415701803,74.192052619638,72.6820229066716,64.4811128408756,81.6903010751735,77.085402295287,60.3145296504037,82.8683481778983,79.2180605715046,74.5708535766439,67.3175662611602,79.1965753061712,71.0559375446027,59.1802390056019,72.9093735371427,69.1038502211207,99.6211741320227,77.3801091576549,93.5071395652388,65.779207635337,94.3562364356606
"TCGA-AB-2910-03",124.234657015044,77.1312967745256,85.5206339707043,79.8760753569387,0,78.3325242850257,69.4717214716202,103.413554093757,76.5318058582594,96.8393373965718,83.1693784186883,82.9992198222373,149.5713969129,60.1072480000436,90.4924263385822,65.0493343926148,80.6203146592956,73.390704306706,93.6281325326213,89.2208076383492,105.096887192327,78.368000667697,148.106680343634,68.2660476575016,117.728035031265,79.7386077650665,81.8254842339789,71.806614306957,85.0615783350633,90.4176558410734,63.1557767696698,91.5846593096549,128.677304245497,77.0885280368851,118.124505512968,72.8575873307515,74.2635623183684,93.2913107269575,95.5095335781985,133.188382664211,104.51415835027,126.166635528955,65.5639427305878,88.6979672247544,104.544333104126,74.4849485071172,85.5151941169501,83.0418043598402,84.6017317342848,67.2648692354978,84.620078477778,88.5231658602622,81.5467709346606,58.2418536732614,83.1340918195968,168.23365281438,82.445130028296,74.247736820144,83.5310552738517,65.1994846250893,81.7449870574237,88.7173515657563,79.2942483149771,98.8835189681438,71.8523571010157,92.3145006357727,81.793883740411,59.3153522518435,84.4241005461563,113.989597466529,76.624546845098,64.0629920048706,81.2484876414984,115.872552721877,117.949331154672,66.7722499032669,70.5570613439069,126.634409560065,100.967476223014,75.718994481533,80.652015628521,77.0997024476248,72.7672559011437,117.155320510305,77.8313836056564,80.9141733386827,384.664170868247,83.6711798032205,76.4195185663424,79.8107334351671,87.7214753323074,64.1123497389252,243.97822104622,71.2695635174318,101.17998540612,96.8033600900101,118.451040399959,95.899141858085,76.788420621229,111.875736641179,105.813239182379,68.5565705494105,88.5502240218085,128.684371890817,265.585692728548,90.1339852464581,83.9513480012378,78.6190565173634,79.9476759960522,82.0266324316421,72.3659935029383,79.6858786625053,101.178061052565,65.6779191555451,61.5309003426277,97.1233558406756,64.8387203653439,103.820214112938,83.6307191095203,85.2924864025256,78.3578403883869,77.5353136723217,79.095188321899,58.171535853474,71.4142489993869,82.6825047124403,112.647428268695,94.2055981364928,95.0383974028271,97.3685830539238,76.152387233653,79.580234247491,80.384912958304,77.8359420230518,85.4069474206238,78.6101215328368,100.729752940567,84.5625711866681,70.2878316797662,65.8521805760884,88.4442214885833,97.2666416612891,94.2787488573743,128.03932028432,64.1911971434564,84.606641331606,59.6288300159785,95.9583304896115
"TCGA-AB-2996-03",114.183891717529,64.5278163197529,68.9514086269313,64.0096514370047,78.3325242850257,0,79.5123540332244,113.359679506412,59.5616713281857,84.298255277751,93.1148989159676,85.6285222609016,140.157748324179,83.4632339047348,82.4795614171505,80.4225281777471,88.0074989025515,57.8415939650152,83.6017375078239,74.9724362496104,111.021347857548,76.8511619190171,149.486039176163,76.1386268835532,103.953761441571,66.1459079770079,74.8839646211075,79.2048788606792,75.2251959828923,75.9297140230813,74.47975846134,103.800963561249,118.746248330716,84.1889049393963,103.467643843272,58.807053847653,79.1092296348428,96.4330243518239,104.362719469497,119.343131940991,113.31744145814,116.583146961757,78.2524728801976,79.6759897928146,105.583692418755,78.5972064730083,77.9228392442093,65.5890127047322,79.4840090541721,82.1322204009863,95.6277002055109,92.4853922592048,63.7090445461541,70.7239933356244,89.6874691279403,160.675095956569,86.92354626337,56.3293460162654,66.5043618306827,81.1433583006072,80.3190315437963,76.2160397302822,81.9635503012428,87.3956050808421,64.3520662145617,96.1007899308124,74.8805892756901,77.0582717348978,90.1877568720177,116.802030810361,90.4973600023645,74.7008541343812,66.4603160215978,101.783215286636,112.258940442325,74.7969111982378,53.5171166986365,115.293688424567,90.808188000618,86.5761714178126,61.2750296352336,80.3321110476643,84.3407831790311,118.096590614586,68.5733307608963,66.4801036686261,386.124181345882,71.5515587989082,88.738640121548,62.9740253619868,94.7537734678929,76.9123061655156,239.849441174221,66.0629327530956,88.6587832768566,84.7379899541117,107.801415811623,85.7440388164973,74.3348101802614,97.8006784041236,96.1046340550053,50.2805982020198,77.8358471782998,136.518591606159,258.016460316195,102.357000128995,91.9052928531036,64.9869904080358,63.7192171108875,70.1746581056715,78.1484288976646,68.5998675513263,83.5893250181734,78.1262689490025,74.7413696994721,86.1404465863915,80.71202241611,106.920801009054,74.8449770927655,67.7775509953856,65.8755397806874,83.7772292384138,88.6958303407376,69.4396691165912,80.6517468206927,68.1479622190427,94.8388312973273,77.2058796796228,76.1904727527048,85.5275659945278,64.411533857766,90.3438088605084,71.8654139857868,63.7822793329067,92.6077601982054,73.1173378235626,81.5725744572678,73.3651707529581,84.3037248586075,73.0709000418485,69.5759867686051,76.8339361396928,83.2531417726922,111.774082723826,72.6592860094308,93.7482296072783,73.0221571650651,104.017211253161
"TCGA-AB-2988-03",117.084353881219,76.5071783422669,86.3648636479979,79.6845693993579,69.4717214716202,79.5123540332244,0,102.894946770485,79.3793333217259,92.267130266281,81.8736852987938,87.2846626540616,143.906795179027,71.3411005717829,91.3084271932769,64.1255435411923,85.8621339074067,76.0872375853985,92.9258496998827,80.8245166144215,100.933231895856,88.4775845102834,142.71150876576,70.8149215332106,114.045425306039,78.9411357193833,79.5388614689744,70.3949445178922,85.0616782120101,93.6305061663808,65.8839155631131,91.1137451817775,124.498823950074,78.2025001786688,112.943628632051,76.1500313726491,73.530807351929,91.6962416639123,91.4204196849036,128.041363244049,101.058942518615,125.090185878807,62.6159443079926,87.1404861313245,100.111695921248,74.0047743276101,82.2669917108153,82.600659533982,86.7319167224846,66.325017266088,83.3333631438448,86.1237680312855,79.2276078156548,64.216421738895,78.6772443933591,163.429090352666,77.8183120981728,76.0086146623651,79.6536780883259,67.3502327609559,80.6993158022557,90.6578919612678,80.2329166124937,96.8629174365164,77.0744297156817,85.7321018170433,79.3360964912906,66.003346578881,85.422074384735,109.237204844937,76.0656510962208,61.9982248710611,83.7767753319351,111.0162789652,115.964530093331,72.6197672206854,74.9693422592474,123.975551100314,96.3356636828883,76.0979404378797,80.6009385570801,75.8716458253718,64.8820324852446,112.994804441394,78.6009436523714,83.2569634276258,380.596084649154,85.6045839505788,76.0224649287108,79.5943683211989,84.9470212451542,69.8017837050916,241.917762126531,79.3107134298002,97.3448964112648,95.5707086056812,112.077655937003,93.12811547381,86.4649966022046,110.235877059497,98.7160149099073,72.6471996989593,80.9664808647188,120.89536427956,261.744579697142,90.8595139638963,81.610890808597,77.049773452155,79.9127054932194,76.0010749541758,71.3839255251959,75.1875362741463,99.4646418462354,66.096323387042,62.9373946366258,93.3404944337301,67.2642646166791,100.358083185177,79.259617918901,88.0414816123789,75.4056057821675,80.142767643825,76.0858802896664,62.5885982419694,67.2041403685723,82.1500746673347,109.627532239746,91.756942870929,91.8566633588862,97.1938695557771,75.6885480072499,74.9831738613745,79.6931118438095,79.2933782023398,77.4999388965377,79.9824255637469,96.6681467545498,78.7159774082608,70.3122778991147,66.9809302662303,87.7796145581954,94.4412062326823,92.6386067989633,124.54176688081,65.4356868585126,85.1174630854467,63.3340174904097,86.3758764365986
"TCGA-AB-3001-03",102.085397941367,114.850620709997,96.2245113695889,98.1051213573361,103.413554093757,113.359679506412,102.894946770485,0,112.127473988958,98.080777032752,92.7738100670375,115.643422518644,112.550097211931,94.5405616943659,114.975616363414,110.881663309477,123.931871936395,119.334313965305,87.4826852685875,94.2815094639408,93.3796313534619,122.702936971288,117.786369824507,87.4722644506074,101.502784357359,99.483923674703,118.954034509712,108.527968564069,99.9757435835916,131.181235559981,94.6299402431051,87.4258421042976,99.5945797496893,100.497387129515,107.631426336657,106.823005089168,96.6969487173812,87.0553099838538,83.6258780653709,125.292912672447,83.0743263202068,110.793225773132,95.9258607282419,94.1850105265363,103.494671156047,95.442018022965,110.758470963909,106.208328259661,136.327964499684,114.665002599225,64.2325111825088,87.116696138733,106.330953669196,106.429545667062,88.3760058880325,126.984296685899,93.7150598768298,101.029954332766,93.2712932282726,118.452437048189,105.314876024401,122.32628726956,103.684970475682,84.9760479745885,117.87621500677,98.0176846319327,124.36815637421,100.43940938778,90.9761734839637,100.776164297213,81.7346176898382,105.124188054168,116.906516755008,113.136930921149,104.458682543149,103.996539978271,114.090964955779,114.666263123665,96.8960401108537,87.7331683750975,102.458175765329,87.3386377964977,90.4591828670061,107.28339771099,111.560322711245,99.1151909788432,335.882186198422,125.266049304706,87.2845047731576,106.822129255001,77.4362132903431,104.263327878559,202.486648546908,110.821781699365,98.5134985662765,101.073290383048,98.8378312373436,105.306538677548,119.773624073465,105.216346168543,95.6620128946838,112.182186490972,104.948611341329,90.912434262223,215.038619354025,89.7991765368813,84.7677316941634,107.25883188827,118.551174122184,108.83176219548,81.8245713728573,114.940944913799,110.56959484154,105.053576412951,99.8536400721637,96.7631790739737,113.294358507155,103.2605991278,100.111839172215,104.662465539478,109.379500146858,112.06031151646,78.2195829866443,94.7642824047005,100.966093352534,103.037134471564,112.202289646248,107.262098645713,118.205071600042,100.373940972696,111.581040050088,80.6271795093578,124.651960068729,110.052831672867,82.110643653716,128.708916544507,114.782250776934,107.005135331192,90.8428894449214,101.227760069317,104.067009615099,112.930781213007,82.7800649057514,115.251218759172,102.528390140362,110.91936500192,87.8413605825204,90.2295657730736
"TCGA-AB-2908-03",112.41283988393,60.132993657407,64.7739272248738,58.897685790987,76.5318058582594,59.5616713281857,79.3793333217259,112.127473988958,0,82.4709219229563,89.0351262387627,79.2967247751933,138.9271602021,81.4511207535059,76.1783921324627,77.8311775692875,84.2095148386144,55.9725162127573,80.6324795176037,73.6567945880917,112.542590871404,70.9864465017425,153.389836044844,71.8270343887641,100.715469945729,62.6173381120825,70.0050642696086,81.81890828957,69.8389248657764,71.9155418339415,73.277479800798,101.736500880293,117.100324228114,89.6701845298512,103.725451025187,50.7244338814559,77.0099489686036,99.3076476615993,105.083691116418,121.100815086623,113.842037374923,112.487200099299,76.5039390361332,76.2854907612881,109.070461726462,80.5928756691833,72.3168517659826,59.9313005028398,72.9429427573528,80.250143938468,94.8181397426551,92.3665127279505,62.9253560970752,66.673942994664,90.1870561636413,159.980041238021,88.5136309168381,52.3274028503315,64.7452978627782,77.3043108165014,84.3759865533635,70.5790734496903,81.3639341851877,84.983041358675,60.4868876649433,95.6367592823876,69.5383191546601,73.3672441452853,87.2985763726719,118.392635047053,88.6461103469476,72.9983831450456,60.0117981664802,101.95120317307,108.973844862346,71.3002263521957,46.1755569016603,116.51484979266,87.5448762202801,84.7711209328226,60.6611635592099,80.7789726586049,84.7299771287664,119.957193030141,63.1361886470833,61.3201345862679,389.51313730021,64.5795224200993,86.6206952906191,58.6690968475328,94.4161126599477,78.5529825802602,239.92655016815,59.6630709618881,86.4416254873588,83.3166835290432,104.973664790867,81.0721288949021,68.3307552594347,96.4788176444107,93.7103643834369,46.1547574756963,74.9084666197893,135.741306344233,258.509076246657,96.9202714770291,89.4659928021917,60.7874346898572,61.8033907828862,67.3888544512118,78.8463485596127,64.9905749497344,83.3411019203543,76.4080619089755,72.4152534344414,82.8810658843943,77.2554729842168,107.406415316287,70.1567362131091,61.6502382553242,62.5229902855886,81.7760053047568,87.8082648078025,65.8227459468461,80.87618094124,67.8850596471068,94.7016927162887,73.1526729818395,76.8684115128547,81.4692830820516,61.4640435579123,89.4278590565284,66.026561250313,57.567608046477,92.5837752464899,67.1560651881662,85.6162838406722,69.6898038937663,82.6213975183623,68.2123426814508,63.9300797036583,76.4975545926158,80.9153376001237,114.156909187926,74.7365320775914,93.7338009408712,70.5277527050839,103.314613313484
"TCGA-AB-2856-03",87.6378610237449,84.6103556387404,70.1242061786015,73.1632452205054,96.8393373965718,84.298255277751,92.267130266281,98.080777032752,82.4709219229563,0,85.0451561785238,93.2381569027582,113.838024247588,93.7042100865436,86.2340090357385,100.579165195384,113.0854090575,88.6232808881489,76.7400284698168,63.6318805715793,103.556796219248,92.4609495012871,137.298889405281,89.053030543039,86.32593776069,77.4782819953923,87.3063689419628,98.0598387714537,80.8556692892894,98.7716240322856,91.3105902556275,96.6630217347995,96.3803297431121,100.218243538193,95.5266834105404,77.7653744199049,90.4706504245954,93.7633020925238,93.7210069594062,114.90205985371,99.7700770334339,106.095036733645,86.5510288295059,76.6262856972966,108.930257213162,94.6421725017987,75.4566277155899,79.559234372736,104.048802163209,101.053250703664,89.7871396234466,93.5310803807158,74.0181679843549,96.8829761063002,88.6548158682614,134.180401240036,91.1273567992337,71.6354605550565,68.8976020256341,102.419945221807,101.135167990331,94.5017560688965,99.3041312279576,76.6662420237438,86.0526954526785,87.7689592309597,91.3155640330931,93.9920417905739,90.3399491688323,112.150981229018,92.0722815902555,89.8002714991172,86.3593796193155,97.1812559125668,96.5646654991912,91.8526890330575,84.7589439030981,103.406749250922,79.4780499254353,91.5224985871877,74.7072074102419,85.8773212080381,83.0882512222673,114.106314765066,81.475822668436,76.1973557668986,367.851388640842,95.2385224855111,93.6135919841907,79.2471293207752,87.297915175292,97.4557227740507,217.750009774523,80.8231673579672,76.3313524945783,77.2368983882831,87.4932739559805,79.9739901955014,88.0400334148272,95.5953313705777,75.4950796355736,82.2607288897392,73.9827128998721,110.378297185403,236.073079473154,96.6015918179588,86.5921258708774,79.6575845575764,86.2793836347164,73.4602505900889,85.4127501332557,79.991590284007,90.8602487782416,95.0969499090154,92.1677018286962,72.136483189373,101.302536413613,108.381575195777,67.0479329148022,75.8621273177649,79.9412678086156,105.912707865548,89.1864397210888,90.3420881290025,95.4118442405541,76.3781937772901,97.6715266269215,83.3044796450266,95.5941418329296,79.4024400001281,78.8115900039632,81.9091710921149,90.9613531346341,80.4125894809781,81.7877844877929,95.5642285380087,95.3596563308283,70.1117750170089,89.9193235355836,88.6249141902666,80.1513566507486,89.0031955060201,73.434110718287,105.740808579392,96.2109964172246,104.881609212983,85.0249140039957,87.4305023320857
